sku,rating,good points,bad points
B12AD90118,"[10, 8, 9]","['Zit lekker en isoleert goed. Waterdichtheid nog niet echt kunnen testen, buitje gaat goed.', 'Perfecte pasvorm. Ik zit vaak tussen een M en L in. Deze jas in M is perfect voor mij. \nWind dichtheid is zeker goed. Waterafstotend heb ik nog niet kunnen testen, want geen regen.', 'Kwaliteit \nMateriaal\nKleur\nZit erg comfortabel met zeer mooie afwerking']","['Originele prijs is veel te hoog, maar in de aanbieding goed te doen.', 'De boord bij de pols is niet verstelbaar en voor mij net iets te breed waardoor die iets te veel over mijn hand valt. Niet heel erg maar toch.\nWat wel vervelend is is dat de rits last is dicht te ritsen. Denk dat het door de tweewegrits komt.', 'Iets kleinere capuchon']"
AEBAD60001,"[9, 9, 8]","['Modieus, hoge kwaliteit', 'comfortabel en past perfect']",['nope']
B12AD90118,"[8, 8]",['Goede jas\nWel wat prijzig als je de jas niet in de uitverkoop hebt gekocht'],[]
B12AD90146,[9],['Je voelt bijna niet dat je hem aan hebt.'],[]
B12AD90064,"[10, 9, 10]","['Kwalitatief goede jas', 'Perfecte jas voor verschillende activiteiten en weersomstandigheden. Al jarenlang mijn favoriet.', 'Prachtige kleur, lekker licht en goed ademend materiaal.']",['Geen']
B12AD90064,"[9, 10, 9]","['Mooi Jack , zit lekker, licht in gewicht .', 'Lichtgewicht en slim fit soft shell jas die tóch warm houdt, winddicht én waterafstotend is. Heb er veel plezier aan beleefd bij het langlaufen. Geen last gehad van zweten, dus ademt ook. Is de hogere prijs dubbel en dwars waard.', 'Licht, goed passend, spoepel']","['Pluist nu al op de rug. Na 1 week dragen.', 'De zwarte jas is vrij sober.']"
B12AD90064,"[9, 8, 9]","['Mooi, comfort', 'Top kwaliteit, goede afwerking en zeer functioneel voor in de bergen en vrije tijd', 'Mooie pas. Ome, ventilatie, fijne kraag en capuchon. Nauwsluitend- pas met de lagen die verwacht te dragen!']","['Nee', 'De prijs….']"
B12AD90064,"[9, 10, 8]","['Ademend vermogen van deze jas is uitstekend twee dagen in gewandeld en geen moment gezweet. Stretch en pasvorm geven zeer goede bewegingsvrijheid\nJas heeft een relatief sportieve pasvorm maar biedt wel ruimte voor het dragen van midlayers (maat L voor 1.94 M 84kg)', 'Kwaliteit', 'Mooie afwerking en goede pasvorm. Geschikt als laag onder een shell.']","['Geen klitteband bij de mouwen om jas af te sluiten rondom polsen \nGeen uitgebreide manieren om de capuchon van de jas af te stellen', 'Geen', 'Duur']"
B12AH90047,"[9, 9]",['Kwaliteit.'],['Extra zakken zou prettig zijn.']
B12AD90064,"[9, 9, 9]","['Mooi soepel jasje', 'Mooi afwerking. Erg fijn materiaal. Goede pasvorm voor normaal postuur, sluit mooi aan', 'Pasvorm was goed en je kan uitstekend bewegen in de jas.']",['Wel waterafstotend maar niet waterdicht.']
AEBCD80006,"[8, 10, 10]","['Past goed en ziet er netjes uit.', 'Goede stof, goede rits.', 'Goede kwaliteit']","['Nog niet gevonden, maar ik heb hem pas net.', 'Een variabele polssluiting zou fijn zijn.', 'Niet gevonden']"
B12AD90064,"[9, 10, 9]","['Mooi afgewerkt en winddicht. Lekkere grote zakken en ritsen in de oksels, zodat de warmte goed weg kan.', 'mooi materiaal en zit perfect', 'Hoge kwaliteit, goede pasvorm, grote insteekzakken']","['Prijs, maar is dan ook een kwaliteit product.', 'geen', 'Geen binnen zak']"
AEBCD80006,"[9, 9, 9]","['Zit als gegoten. Winddicht. Waterafstotend. Ademt goed.', 'Mooie stof, pasvorm is goed', 'Wind vast']","['Stiksels laten nu al los.', 'Boorden aan mouw zou meer kunne zijn als omgenaaide elastiek']"
B12AD90064,"[10, 7, 10]","['Winddicht\nGoede prijs/kwaliteit', 'Kwaliteit']","['Het dichtsnoeren van de mouwrevers is niet mogelijk', 'Maar viel iets kleiner uit dan eerdere modellen']"
AEBCD80006,"[9, 9, 10]","['Zit ruim genoeg om nog een stevig vest onder te dragen. Ik val tussen L en xl, voor de xl gekozen. Soepele stof.', 'Zit zeer comfortabel', 'Heerlijke jas']",['Geen']
AEBCD80006,"[9, 9, 9]",['Gemakkelijk in gebruik\nDraagcomfort in de auto\nGoede kwaliteit\nVoldoende zakken'],['Bij harde koude wind wel een trui nodig']
AEBAD60005,"[10, 7, 9]","['Warm goede pasvorm stoere uitstraling', 'Mooi materiaal (wol)']","['Het is echt een heren vest maar de rits is een “vrouwen” rits met rechts de loper', 'Ietsiepietsie kortere mouwen']"
